node_id,mondo_definition,t-SNE 1,t-SNE 2
15694,A melanoma (disease) that involves the mucosa.,-6.012401,-6.6697283
15695,"Combined immunodeficiency (CID) due to Ca2+ release activated Ca2+(CRAC) channel dysfunction is a form of CID characterized by recurrent infections, autoimmunity, congenital myopathy and ectodermal dysplasia. It comprises two sub-types that are due to mutations in the ORAI1 and STIM1 genes: CID due to ORAI1 deficiency and CID due to STIM1 deficiency.",2.5000656,-6.229207
15696,"Good syndrome, also known as thymoma-immunodeficiency, is a very rare acquired immunodeficiency syndrome characterized by the association of thymoma and combined B-cell and T-cell immunodeficiency of adult onset with increased susceptibility to infections.",1.3863313,-5.7730875
15697,,-5.5961933,3.373505
15699,,-5.546067,3.5812318
15700,"A genetic deficiency of any membrane attack complex (MAC, also known as terminal component complex (TCC)) component of the complement system (C5, C6, C7, C8, C9). Deficiencies of the terminal complement pathway results in a predisposition to infections, such as invasive meningococcal disease or disseminated gonococcal infection.",-5.118398,3.269474
15701,"A severe combined immunodeficiency that results from defective IL7R expression causes T-B+NK+ SCID. Loss of IL-7R function leads to the loss of an antiapoptotic signal, resulting in a loss of T-cell selection in thymus.",2.3303185,-5.4880557
15702,,-3.4635477,0.053539343
15703,,1.290345,-6.035351
15704,,0.70280063,8.191716
15706,,8.495431,-5.814118
15707,,-5.1787896,5.86156
15708,,-6.3463845,6.834697
15709,,-4.755647,3.2297676
1571,Development of breast tissue in males.,2.1264405,0.74511987
15710,,-4.7332287,3.479531
15711,,-6.1268587,1.9095314
15712,"Non-distal trisomy 10q is a rare chromosomal anomaly syndrome, resulting from the partial duplication of the long arm of chromosome 10, characterized by mild to moderate developmental delay, postnatal growth retardation, central hypotonia, craniofacial dysmorphism (incl. microcephaly, prominent forehead, flat, thick ear helices, deep-set, small eyes, epicanthus, upturned nose, bow-shaped mouth, highly arched palate, micrognathia), ocular anomalies (e.g. iris coloboma, retinal dysplasia, strabismus), long, slender limbs and skeletal and digital anomalies (scoliosis, poly/syndactyly). Additional features reported include cardiac defects (e.g. septal ventricular defect), anal atresia, and cryptorchidism.",3.499916,-8.857257
15713,,1.709922,6.8178782
15718,"Mosaic trisomy 12 is a rare chromosomal anomaly syndrome, with a highly variable phenotype, principally characterized by developmental or growth delay, short stature, craniofacial dysmorphism (e.g. turricephaly, tall forehead, downslanting palpebral fissures, posteriorly rotated and low set ears, narrow palate), congenital heart defects (e.g. atrial septal defect, patent ductus arteriosus), hypotonia, and pigmentary dysplasia. Scoliosis, hearing loss, facial/body asymmetry, and intellectual disability have also been reported.",-3.5304425,-1.8730797
1572,"A well-circumscribed benign smooth muscle neoplasm characterized by the presence of spindle cells with cigar-shaped nuclei, interlacing fascicles, and a whorled pattern.",0.9471868,1.6158962
15722,Congenital vitamin K-dependent coagulation factors deficiency involving multiple coagulation factors.,-2.9547417,1.2041879
15723,"Trisomy 12p is an extremely rare chromosomal disorder (over 30 cases reported worldwide) characterized by craniofacial malformations (round face, prominent cheeks, high bulging forehead, broad and flat nasal bridge, short nose with anteverted nostrils, long philtrum, prominent and everted lower lip, low-set ears, abnormally folded helix, protuberant antihelix), postnatal growth retardation, mental and psychomotor retardation, generalized hypotonia, abnormally short wide hands and/or other abnormalities.",8.257395,-6.6482506
15724,"Non-distal trisomy 13q is a rare chromosomal anomaly disorder, resulting from the partial duplication of the proximal long arm of chromosome 13, with a highly variable phenotype principally characterized by increased polymorphonuclear leucocyte projections and persistence of fetal hemoglobin, as well as growth and developmental delay and craniofacial dysmorphism (incl. microcephaly, depressed nasal bridge, stubby nose, low-set, malformed ears, cleft lip/palate, micrognathia). Strabismus, clinodactyly and undescended testes in males may also be associated.",8.7439575,-7.0750494
15725,"Mosaic trisomy 14 is a rare chromosomal disorder in which there are 3 copies (trisomy) of chromosome 14 in some cells of the body, while other cells have the usual two copies. The extent and severity of features in affected individuals can vary. Signs and symptoms that have been most commonly reported include intrauterine growth restriction ; failure to to thrive ; developmental delay; intellectual disability; distinctive facial characteristics; structural malformations of the heart; and other physical abnormalities. This condition is most often caused by an error in cell division in the egg or sperm cell before conception, or in fetal cells after fertilization. Treatment is directed toward the specific signs and symptoms in each individual.",8.497,-6.709505
15726,,8.447053,-5.9460044
15727,"Mosaic trisomy 15 is a rare chromosomal anomaly syndrome principally characterized by intrauterine growth restriction, congenital cardiac anomalies (incl. ventricular and atrial septal defects, patent ductus arteriosus) and craniofacial dysmorphism (incl. hypertelorism, downslanting palpebral fissures, wide nasal bridge). Patients also present brain (e.g. hypoplastic cerebellum, ventricular asymmetry), renal (e.g. small dysplastic kidneys), and/or genital (undescended testis, small penis, hypoplastic labia majora) anomalies. Digital and skin pigmentation abnormalities have also been reported.",7.4659543,-5.8267946
15728,,3.4571776,-8.91273
15729,"Mosaic trisomy 16 is a rare chromosomal anomaly syndrome with a highly variable phenotype ranging from minor anomalies with normal development to intrauterine growth retardation, abnormal skin pigmentation, craniofacial and body asymmetry, cardiac (e.g. ventricular septal defect) and genital (e.g. hypospadias, cryptorchidism) anomalies, scoliosis and hearing loss to neonatal death. Additional features observed include skeletal malformations (e.g. clino/polydactyly, talipes), mild facial dysmorphism, and developmental delay.",7.908906,-5.970814
15730,"Mosaic trisomy 17 is a rare chromosomal anomaly syndrome, with a highly variable clinical presentation, mostly characterized by growth delay, intellectual disability, body asymmetry with leg length differentiation, scoliosis, and congenital heart anomalies (e.g. ventricular septal defect). Prenatal ultrasound findings include intrauterine growth retardation, nuchal thickening brain anomalies (e.g. cerebellar hypoplasia), pleural effusion and single umbilical artery. Patients with no associated malformations have also been reported.",-3.5305848,-1.8729357
15734,"Rectal duplication is a rare congenital anorectal malformation characterized by an egg-like, cystic, mucus-filled mass, composed of intestinal mucosal lining and smooth muscle tissue. Commonly they present in childhood with symptoms of recurrent urinary tract infections, gastroenteritis, obstruction, perianal sepsis and rectal bleeding. Drainage of mucus or pus from the anus is also a typical presenting sign. The majority are found in the retro-rectal space where they communicate with, or are contiguous to, the rectum.",-7.460485,3.655626
15735,Severe congenital nemaline myopathy is a severe form of nemaline myopathy (NM) characterized by severe hypotonia with little spontaneous movement in neonates.,5.516352,-5.254834
1574,A disease involving a capillary.,1.6689883,5.000429
15740,"Trisomy 18p is an extremely rare chromosomal anomaly with a poorly defined clinical phenotype. Reported manifestations include short stature, mild, moderate or severe developmental delay and intellectual disability, variable but mild facial dysmorphism, and epilepsy.",7.655949,-8.042224
15741,,3.4926343,-8.8524475
15742,"Periventricular leukomalacia (PVL) is a brain injury disorder characterized by the death of the white matter of the brain due to softening of the brain tissue. It can affect fetuses or newborns, and premature babies are at the greatest risk of the disorder. PVL is caused by a lack of oxygen or blood flow to thearea around the ventricles of the brain, which results in the death of brain tissue. Although babies with PVL generally have no apparent signs or symptoms of the disorder at delivery, they are at risk for motor disorders, cerebral palsy, delayed mental development, coordination problems, and vision and hearing impairments.There is no cure for PVL. Treatment is generally supportive. Prognosis is dependent on the extent of damage to the ventricles.",-2.197862,1.4129936
15743,"Idiopathic bilateral vestibulopathy is a rare otorhinolaryngologic disease characterized by dysfunction of both peripheral labyrinths or of the eighth nerves, which presents with persistent unsteadiness of gait (particularly in darkness, during eye closure or under impaired visual conditions, or when standing/walking on uneven, soft or wobbly ground) and oscillopsia associated with head movements. The disease may be progressive, presenting no episodes of vertigo, or sequential, presenting recurrent episodes of vertigo.",-3.2760932,3.9892826
15744,"Distal trisomy 19q is a rare chromosomal anomaly syndrome characterized by low birth weight, developmental delay, intellectual disability, short stature, craniofacial dysmorphism (incl. microcephaly, midface hypoplasia, hypertelorism, flat nasal bridge, ear anomalies, short philtrum, downturned corners of the mouth, micrognathia) and a short neck with redundant skin folds. Additional features may include hypotonia, skeletal anomalies (e.g. clino/camptodactyly), seizures and congenital cardiac, urogenital and gastrointestinal malformations.",-0.6784913,-8.977744
15745,"Microcephaly-polymicrogyria-corpus callosum agenesis syndrome is a rare, genetic, central nervous system malformation syndrome characterized by marked prenatal-onset microcephaly, severe motor delay with hypotonia, bilateral polymicrogyria, corpus callosum agenesis, ventricular dilation, small cerebellum and early lethality.",6.702184,-7.736352
15746,"Male infertility due to globozoospermia is a male infertility due to sperm disorder characterized by the presence, in sperm, of a large majority of round-headed spermatozoa that lack the acrosome and have an aberrant nuclear membrane and midpiece defects. The acrosomeless spermatozoa is not able to penetrate the zona pellucida and thus fertilization failures, even with intracytoplasmic spem injection, are frequent.",-6.853419,4.8743386
15748,"White sponge nevus (WSN) is a rare and autosomal dominant genetic disease in which the oral mucosa is white or greyish, thickened, folded, and spongy. The onset is early in life, and both sexes are affected equally. Other common sites include the tongue, floor of the mouth, and alveolar mucosa.",0.6807944,6.9402575
15749,"Deletion 6q16 syndrome is a Prader-Willi like syndrome characterized by obesity, hyperphagia, hypotonia, small hands and feet, eye/vision anomalies, and global developmental delay.",7.0335655,-8.589186
15750,"This syndrome associates gingival fibromatosis with dental abnormalities including generalized thin hypoplastic amelogenesis imperfecta, intrapulpal calcifications, and delay of tooth eruption.",-1.8261436,3.091719
15751,"Capra-DeMarco syndrome is characterized by sagittal craniosynostosis, hydrocephalus, Chiari I malformation and radioulnar synostosis. Other clinical findings include blepharophimosis, small low-set ears, hypoplastic philtrum, kidney malformation, and hypogenitalism.",8.07332,-7.241469
15752,"This syndrome is characterized by severe intellectual deficit, kyphosis with onset in childhood and cataract with onset in late adolescence.",7.4925756,-8.425604
15753,"Cap myopathy is a very rare congenital myopathy presenting a weakness of facial and respiratory muscles associated with craniofacial and thoracic deformities, as well as weakness of limb proximal and distal muscles. Onset is at birth or in childhood, weakness progression is slow but may lead to a severe and even fatal prognosis.",6.7760735,3.8739228
15755,"Myopathy with hexagonally cross-linked tubular arrays is a rare, congenital, non-dystrophic, mild, slowly progressive, proximal myopathy characterized by exercise intolerance and post-exercise myalgia without rhabdomyolysis, associated with highly organized hexagonally cross-linked tubular arrays in skeletal muscle biopsy. Additional features may include muscle atrophy (or diffuse hypotrophy), myalgia with or without musclar weakness, paresis of truncal and limb-girdle musculature, minimal ptosis, lumbar hyperlordosis, decreased deep tendon reflexes, contractures and pes equinovarus.",-8.468586,4.0696726
15756,,-7.894737,-5.388217
15757,,-8.828106,-5.110773
15758,,1.4434755,2.6586142
1576,Local dilatation of small vessels resulting in red discoloration of the skin or mucous membranes.,1.704729,4.9677105
15760_18908_15759,"The most common type of non-Hodgkin lymphoma. It includes the most frequently seen morphologic variants which are: diffuse large B-cell lymphoma, follicular lymphoma, small lymphocytic lymphoma and marginal zone B-cell lymphoma. -- 2003",1.3192906,2.868306
15761,Trisomy 10p is a syndrome of mental retardation/multiple congenital malformations (MR-MCA) that is caused by the total or partial duplication of the short arm of chromosome 10.,6.6677785,-7.97041
15762_17290_18804,Progressive familial intrahepatic cholestasis (PFIC) refers to a heterogeneous group of autosomal recessive disorders of childhood that disrupt bile formation and present with cholestasis of hepatocellular origin.,2.8812773,2.744199
15763,"Mosaic trisomy 2 is a rare chromosomal anomaly syndrome, with a highly variable phenotype, principally characterized by intrauterine growth restriction, growth and motor delay, craniofacial dysmorphism (e.g. microcephaly, hypertelorism, micro/anophthalmia, midface hypoplasia, cleft lip/palate), congenital heart and neural tube defects, as well as various skeletal (e.g. scoliosis, radioulnar hypoplasia, preaxial polydactyly) and gastrointestinal (e.g. intestinal malrotation, Hirschsprung disease) anomalies. Central nervous system malformations (including ventriculomegaly, thin corpus callosum, spina bifida) have also been reported.",-3.5307386,-1.8728853
15764,"Mosaic trisomy 20 is a rare chromosomal anomaly syndrome with a highly variable phenotype ranging from normal (in the majority of cases) to a mild, subtle phenotype principally characterized by spinal abnormalities (i.e. stenosis, vertebral fusion, and kyphosis), hypotonia, lifelong constipation, sloped shoulders, skin pigmentation abnormalities (i.e. linear and whorled nevoid hypermelanosis) and significant learning disabilities despite normal intelligence. More severe phenotypes, with patients presenting psychomotor and speech delay, mild facial dysmorphism, cardiac (i.e. ventricular septal defect, dysplastic tricuspid mitral valve) and renal anomalies (e.g. horseshoe kidneys), have also been reported.",9.281968,-2.5250971
15765,,-3.2057102,8.399841
15766,"Cholera is an infectious disease, caused by intestinal infection with Vibrio cholerae, characterized by massive watery diarrhea and severe dehydration that can lead to shock and death if left untreated.",1.0804344,-3.3198845
15767,"Trisomy 4p is a rare chromosomal anomaly syndrome, resulting from the partial duplication of the short arm of chromosome 4, with a highly variable phenotype, typically characterized by pre- and postnatal growth delay, psychomotor developmental delay and craniofacial dysmorphism (microcephaly, prominent glabelle, hypertelorism, enlarged ears with abnormal helix and antihelix, bulbous nose with flat or depressed nasal bridge, long philtrum, retrognathia with pointed chin). Additional features include skeletal (rocker bottom feet, arachnodactyly, camptodactyly) and renal malformations, cardiac defects, ocular abnormalities and abnormal genitalia in males.",8.423434,-6.826331
15768,"Trisomy 5p is a chromosomal abnormality resulting from the duplication of a segment of variable size of the short arm of chromosome 5, which usually involves the distal band 5p15. The clinical presentation is variable but is always associated with severe intellectual deficit.",7.527661,-6.943619
15769,"Distal trisomy of the short arm of chromosome 6 is characterized by pre- and postnatal growth retardation, a pattern of specific facial features (mostly of the eyes), microcephaly, and developmental delay.",7.7224064,-5.9494643
1577,"Infection with the respiratory syncytial virus, an RNA virus of the genus Pneumovirus, in the family Paramyxoviridae, which is characterized by the formation of syncytia in tissue culture. It causes minor respiratory infection with rhinitis and cough in adults, but is capable of causing severe bronchitis and bronchopneumonia in young children.",0.18503785,-1.8944811
15770_16553,A congenital hypogonadotropic hypogonadism that is not part of a larger syndrome.,2.3235655,4.5310364
15771,"Mosaic trisomy 7 is a rare chromosomal anomaly syndrome, with a highly variable phenotype, mostly characterized by blaschkolinear skin pigmentary dysplasia, body asymmetry, enamel dysplasia, and developmental and growth delay. Intellectual disability, facial dysmorphism (e.g. frontal bossing, abnormal palpebral fissures, strabismus, abnormally shaped ears, and micrognathia), and genital anomalies (e.g. undescended testes) have also been observed. It has been reported to be associated with maternal uniparental disomy of chromosome 7, resulting in a Silver-Russell syndrome phenotype. Cases with no associated malformations have also been reported.",-3.5309992,-1.8729651
15772,"Trisomy 8q is a very rare disorder characterized by duplication of the long arm of chromosome 8. The most commonly associated abnormalities include low birth weight, craniofacial abnormalities (prominent forehead, flat occiput, hypertelorism, upslanting palpebral fissures, ear and nose deformities, thin upper lips), congenital heart defects, skeletal defects, psychomotor retardation. Phenotypic features vary in relation to the duplication size.",8.6955385,-5.32919
15773,Fibular dimelia-diplopodia syndrome is a rare developmental anomaly.,7.171548,-5.3459363
15774,"Thoraco-abdominal enteric duplication is a rare, syndromic intestinal malformation characterized by single or multiple smooth-walled, often tubular, cystic lesions, which on occasion contain ectopic gastric mucosa, located in the thorax (usually in the posterior mediastinum and to the right of the midline) and in the abdomen. Infants usually present with respiratory distress and older patients with heartburn, abdominal pain, vomiting and/or malena. Vertebral anomalies in the lower cervical spine, with CNS involvement, are frequently present and complications, such as bowel obstruction, perforation and intussusception, have also been reported.",7.5376196,-4.4471493
15778,A hypothyroidism that is part of a larger syndrome.,-6.2375855,6.4817505
15779,"45,X/46,XY mixed gonadal dysgenesis (45,X/46,XY MGD) is a disorder of sex development (DSD) associated with a numerical sex chromosome abnormality resulting from Y-chromosome mosaicism and leading to abnormal gonadal development.",9.894931,0.57900935
1578,,-3.8310957,-4.9461913
15780,"Dyskeratosis congenita (DC) is a rare ectodermal dysplasia that often presents with the classic triad of nail dysplasia, skin pigmentary changes, and oral leukoplakia associated with a high risk of bone marrow failure (BMF) and cancer.",9.751619,4.409713
15781,"Facial dysmorphism-shawl scrotum-joint laxity syndrome is characterised by facial dysmorphism (hypertelorism, telecanthus, downslanting palpebral fissures, ptosis, malar hypoplasia, broad nasal bridge, thin upper lip, smooth philtrum, and low-set prominent ears) and associated with joint anomalies (genu valgum or cubitus valgus, hyper-extensible joints, etc.). It has been described in two patients (a mother and her son). The boy also had hypoplastic shawl scrotum and cryptorchidism, and the mother had mild intellectual deficit.",7.955868,-6.9697003
15782,"Dysmorphism-cleft palate-loose skin syndrome is a rare, genetic developmental defect during embryogenesis characterized by severe psychomotor delay, intellectual disability, congential, symmetrical circumferential skin creases of arms and legs, cleft palate, and facial dysmorphism (incl. elongated face, high forehead, blepharophimosis, short palpebral fissures, microphthalmia, microcornea, epicanthic folds, telecanthus, microtia, posteriorly angulated ears, broad nasal bridge, microstomia and micrognathia). Additional features reported include short stature, microcephaly, hypotonia, pectus excavatum, severe scoliosis, hypoplastic scrotum, and mixed hearing loss.",3.5130756,-8.874075
15784_15783,,6.8743443,-8.873322
15785,,6.436072,-8.769091
15786,,6.4529195,-8.768294
15787_15788,"A form of hemophilia A that manifests in some women with mutations in the F8 gene (Xq28), encoding coagulation factor VIII.",3.3769956,1.0581384
15789,,2.335988,4.526923
1579,,-2.2002263,7.121756
15793,,6.174601,4.017654
15794,,9.304209,-5.5750837
15795,"Embryonal sarcoma of the liver is a rare primary malignant hepatic neoplasm of childhood of mesenchymal origin. It can rarely occur in adults. It is characterized by abdominal mass, right upper quadrant or epigastric pain, nausea, anorexia, intermittent fever or headache.",-2.8369763,-1.6767887
15796,"A condition of lung damage that is characterized by bilateral pulmonary infiltrates (pulmonary edema) rich in neutrophils, and in the absence of clinical heart failure. This can represent a spectrum of pulmonary lesions, endothelial and epithelial, due to numerous factors (physical, chemical, or biological).",3.691909,1.7155334
15798,"A multinodular intermediate fibroblastic neoplasm that arises from soft tissue or viscera, in children and young adults. It is characterized by the presence of spindle-shaped fibroblasts and myofibroblasts, and a chronic inflammatory infiltrate composed of eosinophils, lymphocytes, and plasma cells.",1.596553,8.48602
1580,A primary or metastatic malignant neoplasm affecting the lacrimal duct.,-0.67890453,-8.976415
15800,"This newly described syndrome is characterized by osteosclerosis, developmental delay and craniosynostosis.",6.762368,-6.36916
15801,,-2.7678027,0.32995102
15802_19502_509,An intellectual disability that is not part of a larger syndrome.,5.438399,-7.252476
15803,Botulism that is caused by toxin that is produced in a wound contaminated with Clostridium botulinum.,0.95686656,-3.4079025
15804,A botulism that occurs between 28 days to one year of life..,0.95987153,-3.3902078
15806_15805,"A very rare form of botulism, a rare acquired neuromuscular junction disease with descending flaccid paralysis caused by botulinum neurotoxins (BoNTs), and is due to intestinal colonization by Clostridium botulinum leading to toxin-mediated infection with toxemia.",0.95844847,-3.3961618
15807,,-3.2793934,4.5485535
15808,"Folliculotropic mycosis fungoides is a rare variant of mycosis fungoides (MF), a form of cutaneous T-cell lymphoma, and is characterized by the presence of folliculotropic infiltrates in patch-plaque lesions usually involving the head and neck area.",0.84231824,-0.7950431
15809,"A variant of mycosis fungoides, characterized by an exclusively intraepidermal atypical (cerebriform) lymphocytic infiltrate. Patients present with a localized psoriasiform or hyperkeratotic patch or plaque, usually in the extremities. Extracutaneous dissemination of the disease has never been reported.",0.8560098,-0.78673655
15810,,-0.83827674,7.599879
15811,"Primary cutaneous aggressive epidermotropic CD8+ T-cell lymphoma is a rare form of primary cutaneous T-cell lymphoma characterized by rapidly progressing, localized or disseminated nodules, tumors or eczematous skin lesions. It has a particularly aggressive clinical course with a high tendency to spread, in advanced stages, to extracutaneous locations (the central nervous system, lung, testes). Lymph nodes are often spared.",-0.8269221,7.5399656
15812,"Primary cutaneous gamma/delta-positive T-cell lymphoma is a rare, usually aggressive, subtype of cutaneous T-cell lymphoma characterized by infiltration of the epidermis, dermis or subcutaneous tissue by a clonal population of mature, gamma/delta positive cytotoxic T-cells. Typically it presents with ulcerating plaques, tumors, or subcutaneous nodules on the skin of the extremities, however, frequent involvement of mucosal and extranodal sites (such as the nasal cavity, gastrointestinal tract or lungs) is also observed. Cases associated with panniculitis may present with hemophagocytic syndrome (abrupt onset of fever, rash, cytopenia, hepatosplenomegaly and neurological compromise). Infiltration of lymph nodes, spleen and bone marrow is uncommon and resistance to multilineage chemotherapy is reported.",-0.8329227,7.527825
15813,"Extranodal lymphoma of lymphoid tissue associated with mucosa that is in contact with exogenous antigens. Many of the sites of these lymphomas, such as the stomach, salivary gland, and thyroid, are normally devoid of lymphoid tissue. They acquire mucosa-associated lymphoid tissue (malt) type as a result of an immunologically mediated disorder.",-0.67706627,-8.977452
15814,"A primary lymphoma of the skin composed of various numbers of small and large irregular neoplastic follicle center cells. Its morphologic pattern can be nodular, diffuse, or nodular and diffuse. It presents with solitary or grouped plaques and tumors, and it usually involves the scalp, forehead, or trunk. It rarely involves the legs. This type of cutaneous lymphoma tends to remain localized to the skin.",-5.4887843,-3.7696736
15816,,-8.443494,-5.382958
15817,,-8.487236,-5.3412333
15818,,-6.884518,-5.007749
15819,,-6.7882814,-4.055994
1582,,-6.804554,5.44904
15820,,-5.681953,-3.8781996
15822,An instance of neutropenia that is acquired during the lifetime of the individual.,-1.9612716,-0.13413754
15823,,-4.801411,4.240492
15824,"Oculomaxillofacial dysostosis is a rare, genetic bone developmental disorder characterized by short stature, orbital region and ocular abnormalities (e.g. asymmetric orbits, anophthalmia, down-slanted and S-shaped palpebral fissures, sparse eyebrows/eyelashes, abnormal eyelids, ectropion, symblepharon, corneal leukoma), abnormal nose (e.g. broad and abnormally modeled nasal root, bridge and tip, lateral deviation), malar hypoplasia, cleft lip/palate, and oblique facial clefts. Intellectual disability, microcephaly, micrognathia and limb anomalies (e.g. hemimelia, abnormal scapular girdle, brachydactyly, syndactyly, broad halluces) have also been reported.",8.115871,1.4837433
15825,,-6.2130203,4.749537
15828,,-2.9564414,3.5513048
15829,A uterovaginal malformation that is not part of a larger syndrome.,-7.0648913,4.9917984
1583,,0.46498162,5.9912295
15830_15831,,-6.372549,0.94905156
15832,"True unicornuate uterus is a rare, non-syndromic uterovaginal malformation characterized by a crescent-shaped, small-sized uterus containing a single horn and fallopian tube with no rudimentary horn. Urinary tract anomalies are frequently associated.",-4.479745,2.2646065
15833,"Pseudounicornuate uterus is a rare, non-syndromic uterovaginal malformation characterized by a crescent-shaped, small-sized uterus containing a single horn and fallopian tube associated with a rudimentary second horn (which can be solid or contain a cavity with functioning endometrium and be communicating or non-communicating). Urinary tract anomalies are frequently associated.",-4.4795833,2.2655644
15834,,-5.4734855,-1.9923626
15835,,-2.4128017,-3.6267865
15836,,-2.4128058,-3.6268818
15837,,-6.6716833,-3.9391558
15838,,-2.5584495,-3.8963444
15839_15840_15841,"Complete septate uterus is a rare, non-syndromic uterovaginal malformation characterized by a uterus that has a longitudinal septum which elongates from the uterine fundus to the internal or external cervical os. Most often women are asymptomatic, however dysmenorrhoea, unilateral obstruction, and endometriosis could be observed. Unlike urinary tract abnormalities, which are very rarely associated, poor reproductive outcome is frequent.",-3.7878249,4.0717044
1584,,-4.9880905,6.825659
15842,,-2.3701038,-3.8273706
15843,,-3.7877858,4.071528
15844,,-3.710881,4.267131
15845,,-3.710881,4.267131
15846,A uterovaginal malformation that is part of a larger syndrome.,-7.3598156,5.848464
15848,,2.5545082,-6.8196898
15849,,-7.4973326,3.3968117
1585,A substance abuse that involves the recurring use of hallucinogenic drugs despite negative consequences.,-2.3808913,-7.8214293
15850,,-7.4973326,3.3968117
15852,,-6.343181,0.98331267
15853,,-7.144825,5.900638
15854,,-5.116421,2.3047252
15855,,-6.3179555,4.9798594
15856,,-7.6749053,5.6330004
15863,"Polyembryoma is a type oftumor that develops from the cells of the gonads (testes in men or ovaries in women). Such tumors are called germ cell tumors. Polyembryomas have a distinctivelook because they are composed of many parts that are shaped like embryos, one of the earliest stages of a developing human during pregnancy. Symptoms of a polyembryoma may include an unusual bump or mass in the abdomen which can cause pain in some individuals; puberty at an unusually young age (known as precocious puberty); or irregularities in a female's menstruation. Treatment begins with surgery and may be followed by chemotherapy and/or radiation therapy. The cause of polyembryoma is not yet known.",1.8002838,-5.227025
15864,"A malignant germ cell tumor characterized by the presence of at least two different germ cell components. The different germ cell components include choriocarcinoma, embryonal carcinoma, yolk sac tumor, teratoma, and seminoma. It occurs in the ovary, testis, and extragonadal sites including central nervous system and mediastinum.",-7.9676757,-2.8467257
15867,A carcinoma arising from the vaginal epithelium. The majority of vaginal carcinomas are squamous cell carcinomas.,-0.6457615,7.106987
15871,"A usually unilateral, benign and well circumscribed biphasic neoplasm that arises from the breast. It usually affects middle-aged women. It is characterized by the presence of a double layer of epithelial cells that are arranged in clefts, surrounded by a cellular, monomorphic spindle cell mesenchymal component. Mitoses are rare. Necrotic changes may be present in large tumors.",-0.27250573,9.098391
15872,"Giant adenofibroma of the breast is a rare, benign, fibroepithelial tumor which usually manifests as a unilateral, painless, firm, mobile, slow-growing mass in the breast that measures more than 5 cm. It can be associated with significant asymmetry and/or deformity of the breast and hormonal changes (e.g. puberty, pregnancy, oral contraceptives) can lead to its marked enlargement.",-7.0256934,-3.1874108
15873,"Paget disease of the nipple describes a rare presentation of breast cancer, seen most frequently in women aged 50-60, manifesting with nipple drainage and itching, erythema, crusty and excoriated nipple, thickened plaques, and hyperpigmentation (less frequently). It is due to tumor cells invading the nipple-areola complex and represents 1-3% of all new breast cancer diagnoses.",-5.390395,-4.844242
15874,,-6.909405,-6.089894
15877,,-6.0291505,6.670243
15879,,-6.276899,4.2890086
1588,,-1.7986773,-2.1045394
15880,,-7.0482745,6.2918453
15883,"Hidrotic ectodermal dysplasia, Halal type is a form of ectodermal dysplasia syndrome characterized by trichodysplasia, with absent eyebrows and eyelashes, onychodysplasia, mild retrognathia, abnormal dermatoglyphics (excess of whorls on fingertips, radial loop on finger, hypothenar pattern), intellectual disability and normal teeth and sweating. Additional variable manifestations include high implanted or prominent ears, mild hearing loss, supernumerary nipple, cafC)-au-lait spots, keratosis pilaris, and irregular menses. To date, four individuals from 2 generations of a consanguineous family of Portuguese descent have been described in the literature. Males and females were equally affected. Hidrotic ectodermal dysplasia, Halal type is inherited in an autosomal recessive manner.",6.694641,-4.8950005
15892,"Growth hormone insensitivity syndrome (GHIS) is a group of diseases characterized by marked short stature associated with normal or elevated growth hormone (GH) concentrations, which fail to respond to exogenous GH administration. GHIS comprises growth delay due to IGF-1 deficiency, growth delay due to IGF-1 resistance, Laron syndrome, short stature due to STAT5b deficiency and primary acid-labile subunit (ALS) deficiency.",5.943473,2.1604915
15895,,-4.6432395,6.7110353
15898,"Abnormal sex differentiation or congenital disorders of sex development caused by abnormal levels of steroid hormones expressed by the gonads or the adrenal glands, such as in congenital adrenal hyperplasia and adrenal cortex neoplasms. Due to abnormal steroid biosynthesis, clinical features include virilism in females; feminization in males; or precocious sexual development in children.",2.1484027,5.1756144
1590,Paralysis of all four limbs.,2.678172,7.113546
15900,,2.769839,5.706316
15902,"Major hypertriglyceridemia comprises a group of endocrine diseases characterized by permanently high levels of triglycerides (TG) in the blood (higher than 4g/L after 12 hours of fasting) and an increased risk of acute pancreatitis, making screening essential.",1.2306764,6.9184346
15903,"An autosomal dominant genetic condition caused by mutation(s) in the CETP gene, encoding cholesteryl ester transfer protein. Affected individuals may have increased longevity due to decreased risk of coronary heart disease.",1.7907261,6.286805
15905,A inherited lipid metabolism disorder that is part of a larger syndrome.,-3.7351177,8.045544
15907,,-7.4414506,7.05232
15908,"Chromomycosis is a chronic cutaneous and subcutaneous fungal infection, found mainly in subtropical and tropical areas (in soil and plant debris and transmitted by traumatic inoculation), and characterized clinically by slow growing, verrucous nodules, squamous plaques, or chronic limited lesions which are most commonly found on the lower limbs and which are characterized histologically by the presence of muriform cells. It is caused by dematiaceous fungi, with the main etiological agents being Fonsecaea pedrosoi, Phialophora verrucosa and Cladophialophora carrionii. Rarely, it can be caused by Rhinocladiella aquaspersa.",1.1447599,-3.526549
15909,"Anemia resulting from bone marrow failure (aplastic or hypoplastic bone marrow). The production of erythroblasts and red cells is markedly decreased, and it may be associated with decreased production of granulocytes (granulocytopenia) and platelets (thrombocytopenia) as well. Aplastic anemia may be idiopathic or secondary due to bone marrow damage by toxins, radiation, or immunologic factors.",1.6271178,3.743725
1591,,-0.6788263,-8.976679
