gene_id,sequence
XP_060678350.1,MOB4
XP_060708684.1,RPS19
XP_060502103.1,KRT27
NP_036616.2,FAM83D
XP_060703379.1,MED18
XP_060679663.1,ESRP1
NP_001297411.1,MGST2
KAK1332367.1,ZNF844
XP_060486179.1,ICAM1
XP_060703404.1,PTAFR
XP_060588952.1,THAP4
XP_060485129.1,MGAM
NP_666125.1,SEC14L4
NP_001255215.1,SELL
XP_060685714.1,MRPL37
XP_060696161.1,PRPSAP2
XP_060679589.1,LPIN2
XP_060621898.1,OGN
XP_060547349.1,GRIK3
XP_034289185.1,PTGDR
XP_060618026.1,SPIN1
XP_060699688.1,SPRING1
XP_060686633.1,LPAR3
XP_060680247.1,SGCB
XP_060642519.1,GNG13
XP_060691464.1,NISCH
XP_060685129.1,SAMD4A
XP_060692617.1,APBB3
XP_060700352.1,KCTD2
WP_318187534.1,LTA
XP_060712552.1,FAM136A
P01566.1,IFNA10
XP_060712938.1,UBE2J1
NP_001390291.1,CD40
XP_060709039.1,ARHGEF10
XP_060692498.1,ATG10
XP_060618545.1,TAL2
NP_001104606.3,PCDHA6
XP_060640579.1,C1orf94
XP_059107115.1,SSX3
XP_060544865.1,BAZ2A
XP_060485326.1,PCDHB15
XP_060615344.1,PPP1R18
XP_060690364.1,TSC22D2
XP_060633548.1,SLC38A1
NP_001398155.1,WNT5A
XP_060711097.1,NDUFB7
NP_001372842.1,DDX58
XP_060703228.1,WDTC1
XP_060610655.1,HMBOX1
XP_060621148.1,LARS1
XP_060549010.1,PKD1
XP_060538808.1,CEP55
XP_060685681.1,HSD17B7
XP_034287577.2,P4HTM
XP_060691188.1,KBTBD8
XP_060684164.1,ANKZF1
XP_060689450.1,MOSPD2
XP_060693345.1,KIF3A
XP_060689564.1,NME7
XP_060601304.1,MPPED2
XP_060681636.1,GARS1
XP_060702392.1,AP1M1
XP_060683297.1,NR3C2
XP_060700414.1,C17orf75
XP_060537967.1,SLC39A1
NP_001412239.1,IGKV1OR2-9
BEU01149.1,SDHB
XP_060683715.1,SLC15A2
XP_060549754.1,STRN4
XP_060471024.1,CDSN
XP_060696337.1,BUD31
XP_060683943.1,FKBP7
NP_640343.1,CTAG1A
NP_001238969.1,MT1H
XP_060638742.1,GALNT4
XP_060702963.1,NKAPD1
XP_060693467.1,TRIM68
XP_015888400.1,LSM2
XP_034262862.1,SCAMP3
XP_060711333.1,YIF1A
XP_060709143.1,USP8
XP_060689728.1,DNAJC28
XP_060698670.1,USP6NL
XP_060500869.1,S100A4
NP_115495.3,USH2A
XP_060544880.1,ESYT1
XP_060548419.1,TMEM63B
XP_060638466.1,PTH2R
XP_060500449.1,RGS4
XP_060636216.1,CD2BP2
XP_060710948.1,RNF220
XP_060684440.1,CDKL1
WP_318219363.1,CRTAC1
XP_060617958.1,CSNK1G3
XP_060693692.1,HEATR3
NP_001333487.1,C1orf112
XP_060543608.1,PPFIA1
NP_112445.1,CCR5
XP_060688753.1,EFNB1
XP_060693300.1,RNF14
XP_060701584.1,IKBKE
XP_060548551.1,FBXO11
XP_060500596.1,SH2D2A
XP_060702525.1,KXD1
XP_060708063.1,PLEKHN1
XP_060699909.1,CRYBB1
XP_060695206.1,ATP23
NP_001116205.1,SCO1
XP_034264852.1,SRSF12
XP_060686992.1,GABRA4
XP_060512351.1,TMSB10
XP_060704233.1,SLC2A4
NP_082612.2,GLI2
XP_060676564.1,PIAS3
XP_060618938.1,SENP1
XP_060546487.1,ERMP1
XP_060687168.1,CENPO
XP_060697465.1,DOLK
XP_060699353.1,SFSWAP
XP_060692450.1,ZMYND8
XP_060639725.1,PRKY
XP_060691768.1,RNF123
XP_060699305.1,TMED2
XP_004019670.3,SLC22A8
NP_001104493.1,IGF2BP1
XP_060688312.1,CDX4
XP_060690362.1,TM4SF18
XP_060627436.1,CDK2AP2
NP_001334567.1,FLG
XP_060638008.1,HOXA13
XP_034264262.2,PFN1
XP_060681601.1,INSIG1
XP_060682805.1,NDUFC2
XP_060545608.1,BCAS4
XP_038947550.1,SMR3B
XP_048334736.2,UBP1
NP_034830.2,LDLR
XP_060547435.1,LDLRAP1
XP_060682680.1,GAR1
XP_060637118.1,UBTF
XP_004019741.3,RIN1
XP_060496454.1,CBR3
XP_034283964.1,CAPN11
XP_060680763.1,GALNT12
XP_060709516.1,TUBGCP4
XP_060621724.1,MST1R
XP_060614274.1,NR1I3
XP_060684256.1,SEC22A
XP_060690321.1,PPP1R7
XP_060540791.1,ACIN1
XP_060631661.1,PABPC1
XP_060513525.1,KRT74
XP_060698338.1,STAMBPL1
NP_001186356.1,XIST
XP_060693785.1,ALDH7A1
XP_060627755.1,SERPING1
XP_060626560.1,RAB3IL1
NP_001344826.1,C2CD6
NP_057240.3,MTMR2
XP_034278247.2,RALYL
NP_001295105.1,PAK5
XP_060699272.1,NEDD1
XP_060688495.1,SMARCA1
XP_060550223.1,PI4KB
XP_060545200.1,KHDRBS2
XP_060676866.1,NABP2
XP_060692980.1,N4BP3
NP_006817.1,TNK1
XP_060685628.1,ABT1
XP_060542152.1,ABCB9
XP_060697459.1,SETX
XP_060628468.1,LRIF1
NP_001300886.1,KRT5
XP_060694167.1,SLC9A5
NP_001403114.1,TMEM86A
XP_060506391.1,PSMB10
XP_060688749.1,PDZD11
XP_060621825.1,ACY1
XP_060700378.1,XYLT2
XP_060490810.1,PJA1
XP_060699518.1,TRAFD1
XP_060628116.1,B4GALT5
Q8IX06.2,REXO1L1P
NP_001407870.1,TARDBP
XP_060685325.1,RHOJ
XP_060637770.1,DPPA4
XP_060623978.1,RAB6B
NP_001393484.1,JADE2
XP_060704205.1,TMEM248
XP_060694411.1,SYT12
XP_060709284.1,CCNB2
DBA36019.1,IGKC
XP_060678960.1,CNOT10
XP_060703987.1,VPS53
XP_060712399.1,PLAT
XP_060640657.1,PTPRU
XP_060539357.1,CCDC120
XP_060701066.1,MED20
XP_060703040.1,OPCML
NP_000481.2,AVP
XP_060470546.1,H1-3
XP_060708432.1,RER1
XP_060711960.1,PAK4
XP_060685282.1,FKBP3
NP_001397125.1,MLLT1
XP_060617760.1,NR2F1
NP_001394184.1,STK11
XP_060636756.1,RRAS
XP_060682339.1,ANAPC15
8SE6_B,ULBP1
XP_060682129.1,RFXAP
XP_060693250.1,DDX46
XP_060696230.1,PMM2
XP_060684044.1,NDUFA10
XP_060679824.1,ANKRD12
NP_001278945.1,TNIP2
XP_060688973.1,MAB21L2
NP_001316.1,SYMPK
NP_001305757.1,CD24
XP_060625955.1,TCEANC
XP_060689521.1,OTC
NP_001004455.2,HNF1B
XP_060694387.1,APIP
NP_001264919.1,CXCR4
XP_060700150.1,CETN3
XP_060680472.1,MPPE1
XP_060688121.1,C1GALT1
XP_060618277.1,DPP4
XP_060643206.1,SPA17
XP_060696406.1,NOMO1
XP_060703282.1,E2F2
XP_060711297.1,RAB3D
XP_060697564.1,NUP214
XP_060706782.1,ERCC6L
XP_060637772.1,SLC6A20
XP_060681394.1,TOMM7
XP_060699950.1,MTFP1
XP_060641731.1,ZNRF4
XP_060682543.1,CFAP410
XP_060615826.1,IL12B
NP_001371090.1,FBLN5
NP_001108139.1,FABP4
XP_060684435.1,TXNDC16
XP_060614475.1,S100A1
XP_060610314.1,KCNH1
XP_060694623.1,C11orf16
XP_060472740.1,SPAG4
Q9H1L0.1,MIR1-1HG
XP_060543657.1,TEAD1
XP_060640416.1,MACO1
XP_060698491.1,BORCS7
XP_060619558.1,ACP5
XP_060705602.1,PPFIA3
XP_060701534.1,ZDHHC21
XP_034296328.2,AFF1
NP_001391651.1,EYA1
XP_060543387.1,LTBP2
XP_060614078.1,CELF3
XP_060637816.1,SH3BP5
XP_060637807.1,ASTE1
CAK1305173.1,PLD1
NP_001077404.1,MMP14
XP_060688709.1,OCRL
XP_060055318.1,FCN1
NP_001387917.1,DYNLT1
XP_060685058.1,PAX9
XP_060686106.1,LHX4
XP_060702273.1,RPL37
XP_034284559.1,GAL3ST1
XP_060476100.1,RDH11
XP_060611551.1,MYO5C
XP_060541585.1,NOXA1
XP_060639321.1,CCR9
XP_060629502.1,CTDSP1
NP_001038222.1,KCNB1
XP_060619061.1,CACNG1
XP_060545732.1,BLACAT1
XP_060683692.1,MARCHF4
XP_060629244.1,CSF1
XP_060548241.1,HIVEP2
XP_060541054.1,EFNA4
XP_060696082.1,ATRN
XP_060547480.1,ASAP3
XP_060681289.1,ITGB8
XP_060631008.1,CIDEA
XP_060712487.1,TGFA
NP_034561.2,TSGA10
XP_060630451.1,GLUL
XP_060699168.1,WWC2
XP_060711181.1,TYK2
XP_060683106.1,ZRANB3
XP_060550274.1,S100A11
XP_060680807.1,TMEM245
XP_060508497.1,ZNF835
NP_001357253.1,SIRT1
XP_060640816.1,LPAR6
XP_060678239.1,NIT1
NP_001409135.1,FGF9
XP_060610060.1,CCDC167
XP_060700546.1,MRPS7
XP_060697806.1,SUPV3L1
XP_060679715.1,TBRG4
XP_060543971.1,RBMS1
NP_940682.2,RPF1
NP_997079.1,LUM
XP_060684534.1,GOLGA5
NP_001371345.1,DUX4
XP_060704823.1,SLC35B1
XP_060541734.1,PLCL2
XP_060679348.1,ERF
NP_001384731.1,LIMK2
Q8VBV9.1,OR51E2
XP_060624886.1,PBLD
XP_060640723.1,CERS4
XP_060682947.1,UPF3A
NP_001307679.1,STS
XP_060693177.1,FBXL17
XP_060685623.1,SEC22B
NP_001139502.1,SEMA7A
XP_060681651.1,NFX1
XP_060698738.1,TNPO3
XP_060709718.1,IREB2
XP_060680194.1,LSM5
XP_060484693.1,PAX4
XP_034294318.1,CEACAM3
XP_060624171.1,ENTPD7
XP_060703476.1,RHBDL2
XP_060710413.1,SEC31A
XP_060703860.1,LIG3
XP_060550346.1,SLC29A2
XP_060636646.1,GLS
XP_034276009.1,IQCN
XP_060696690.1,DRG2
XP_060624524.1,PLPP4
XP_060685143.1,FERMT2
XP_060680248.1,TMEM65
XP_060696702.1,TSR3
XP_060683428.1,TBCCD1
P01570.3,IFNA14
XP_060636117.1,OSGEP
XP_060549195.1,EVI2B
KAK3180322.1,CSTF2T
XP_060684564.1,ADCK1
XP_060709672.1,CSPG4
XP_060493690.1,BEX1
XP_060635764.1,PLD2
BEU02899.1,PPID
XP_060635359.1,SCARB2
XP_060634503.1,CHIC2
XP_060692780.1,RUFY1
XP_060685895.1,HYI
NP_001002695.1,COX6B1
XP_027832732.2,LCE1F
XP_060680073.1,TTPA
XP_060695714.1,CPSF6
XP_060683774.1,PNKD
XP_060608942.1,TENT5A
XP_060681881.1,TBC1D4
XP_060507827.1,KLK7
XP_060636228.1,DOC2A
XP_060685586.1,BRDT
NP_001029249.1,H4-16
XP_060700567.1,COMMD10
XP_060677342.1,METTL17
XP_060620962.1,GABRA1
XP_060144896.1,ZNF135
XP_060681945.1,NAALAD2
NP_001100374.2,CDC25A
XP_060701154.1,TAF11
NP_001243839.1,RRP9
XP_060636835.1,GNGT2
XP_060708253.1,NBL1
NP_001316456.1,GPX1
XP_060507730.1,FCGRT
XP_060633027.1,KDELR3
XP_060544705.1,EPN3
XP_060619161.1,BGN
XP_060696693.1,LLGL1
NP_001341985.1,CFLAR
XP_060705351.1,SGSM3
XP_060689083.1,NDUFB4
XP_060693757.1,HERPUD1
NP_055028.3,RND3
XP_060633663.1,TFEC
XP_060696675.1,PGAP6
XP_060697155.1,MRPS2
XP_060545550.1,RPS6KA4
XP_060687136.1,ADGB
XP_060549011.1,PTPRS
XP_060696703.1,GNPTG
XP_060679098.1,ZNF516
XP_060499610.1,TEX35
XP_060707812.1,GABRD
XP_060620915.1,TNPO2
NP_001348168.1,PROX2
XP_060703607.1,COL16A1
XP_060624954.1,WAPL
XP_060619542.1,PLPPR2
XP_060684551.1,LIN52
XP_060686397.1,CPT2
XP_060615097.1,FAAP20
XP_060707478.1,WRN
NP_001013865.1,SLTM
XP_060690050.1,NIPBL
XP_060708235.1,UBR4
XP_060705477.1,RRP7A
XP_060628879.1,RAB29
A8MQ03.1,LCE1E
XP_060483272.1,RTP5
XP_060699669.1,DDX54
NP_001166977.1,GK
XP_060708850.1,MNS1
WOO22786.1,HLA-DRB1
XP_060614564.1,NPC2
XP_060537738.1,KIAA1671
XP_060703920.1,HIP1
XP_060691996.1,BPNT2
XP_060613940.1,S100A16
XP_060689702.1,URB1
XP_060690085.1,NADK2
NP_001399943.1,ATP2A2
XP_060625778.1,INPP4A
NP_001084226.1,KATNA1
KAK2491102.1,KRTAP13-2
XP_060484804.1,GSPT2
XP_060687464.1,PPP2R5A
XP_060706410.1,SCARA3
XP_060638623.1,PLCD1
XP_060700005.1,FBXW8
XP_060685721.1,TOR3A
Q925H6.1,KRTAP19-3
XP_060688668.1,F8
XP_060698098.1,ADRB1
XP_060623586.1,B3GALNT1
XP_060695487.1,SINHCAF
XP_060614011.1,APH1A
XP_060618879.1,SMUG1
XP_060537497.1,FCSK
XP_060487512.1,RHOXF1
XP_060689331.1,NUFIP1
XP_060701263.1,LRIG2
XP_060612721.1,SSC4D
NP_001338720.1,NLRP1
XP_060642931.1,RETSAT
XP_060625413.1,CDHR5
NP_444339.1,CLEC2D
BEU00463.1,MYG1
XP_034273808.1,ARHGAP11A
NP_065594.2,WTAP
XP_060610618.1,CTSB
XP_060698955.1,PLEKHA5
XP_060465613.1,IL1RL2
XP_060549117.1,DPYSL5
XP_060685673.1,TAF1C
XP_060702826.1,PAFAH1B2
NP_001405296.1,TBR1
XP_060676619.1,OLIG3
XP_060612625.1,SLC43A2
NP_001273037.1,USP13
NP_001293091.1,ADAMTS18
XP_060709543.1,NBAS
XP_060706846.1,MRPS18B
XP_060704022.1,PPP2R5D
XP_060687433.1,IARS2
XP_015874554.2,CCL7
P00416.2,MT-CO3
XP_060683265.1,PPIG
XP_060706020.1,BPHL
XP_060628348.1,TRPC4AP
NP_001404224.1,SOX6
XP_060610831.1,SLC5A6
BEU03914.1,HSCB
XP_060699673.1,FBXO21
XP_060539181.1,GRAMD1B
NP_032610.1,ELMO2
XP_060697011.1,SLC31A2
NP_001297580.1,GNRHR
KAK2504558.1,LYZL2
XP_060676906.1,RPS26
Q3LI72.1,KRTAP19-5
XP_060494276.1,CCR8
XP_060630995.1,LDLRAD4
NP_033153.2,LRIG1
XP_060703685.1,BSDC1
NP_653130.2,AMHR2
KAK2557560.1,C11orf1
XP_060707711.1,RNF170
XP_060548890.1,CCP110
A2A591.1,KRTAP3-1
XP_060627968.1,TNKS1BP1
XP_060707277.1,TBCK
XP_060685240.1,CINP
Q8IUC0.2,KRTAP13-1
XP_060699636.1,KNTC1
XP_060709190.1,CIAO2A
XP_060609422.1,IFNGR1
XP_060683619.1,TMEM131L
XP_060610414.1,PTK7
XP_060623552.1,GOLIM4
XP_060492112.1,CDKL3
XP_060682936.1,CCDC83
XP_060685659.1,PRDX6
XP_060633547.1,SLC38A2
XP_060628660.1,TAFA3
XP_060615388.1,TCF19
XP_060623829.1,KCNJ11
NP_112542.1,IL23A
XP_060683122.1,MGAT5
XP_060681331.1,SKAP2
XP_060707950.1,H6PD
XP_060610737.1,AHNAK2
XP_021516126.1,SLPI
NP_001338095.1,MMP3
NP_001185767.1,RBM12
XP_060540004.1,CCDC70
NP_001165012.1,ATP1A2
XP_042092079.1,IQCF1
XP_060547877.1,HIP1R
XP_060473379.1,EDDM3B
XP_060537822.1,CYRIB
NP_001258530.1,SMC2
XP_060644111.1,KLHL28
XP_060698604.1,ZNF131
XP_060696109.1,NME3
XP_060627461.1,NPBWR2
XP_060687969.1,RAB33A
NP_001397800.1,PIEZO1
XP_060710435.1,ALOX12
XP_060705159.1,MIEF1
XP_060700140.1,HNF1A
XP_060703989.1,ABHD11
P19544.2,ZNF224
NP_080094.3,NCBP3
XP_060689193.1,RIPPLY3
XP_060702140.1,SLC5A5
XP_060696761.1,IQCE
XP_034287013.2,NPFFR2
XP_060681591.1,DYNC2I1
XP_060643935.1,KIDINS220
XP_060472870.1,SCAND1
XP_060695217.1,RXYLT1
NP_001406343.1,RFPL3
XP_060470124.1,PGBD1
XP_060693174.1,ANKHD1
XP_060611890.1,FOXB1
NP_001363151.1,CHKA
XP_060620575.1,PTGDS
8D3B_F,TRIM5
XP_060695073.1,LGR4
XP_060688201.1,CITED1
XP_060621202.1,SEPTIN8
XP_060539820.1,SLC25A1
XP_060462864.1,ATP6V1E2
XP_060693965.1,KLHL36
XP_060705884.1,ROPN1L
NP_001317054.1,SNAP25
XP_060496441.1,ZNF280C
Q9H8X3.1,LINC00574
XP_060704714.1,PSMC3IP
XP_060691001.1,CEP19
XP_060687869.1,NUP133
XP_060500562.1,MNDA
XP_060636705.1,NABP1
XP_060490200.1,RRAGB
XP_060712572.1,BIN3
XP_060522594.1,TGIF2LX
XP_060621368.1,CNOT6
XP_060631231.1,NOL4
XP_060610016.1,GTPBP2
XP_060623558.1,PDCD10
NP_001257859.1,IFIT1
XP_060702771.1,FAM118B
XP_060625711.1,POU3F3
XP_055992696.1,FBXO17
XP_060507870.1,CLDND2
XP_060688420.1,SEPTIN6
XP_060678809.1,UTP23
XP_060691132.1,TSEN2
NP_038708.3,LRP4
XP_060683755.1,SMARCAL1
XP_060684077.1,FZD5
XP_060496354.1,CLDN8
NP_001355293.1,BACH2
XP_060677980.1,LAPTM4A
XP_060684775.1,RAD51B
XP_060690893.1,UGGT1
XP_060683625.1,COL6A1
XP_060694596.1,NELL1
XP_060702119.1,C19orf44
XP_060627808.1,NOL4L
NP_990758.1,IFNA1
XP_059742544.1,ARNTL2
XP_060621464.1,GM2A
XP_060636301.1,CCDC106
XP_060707570.1,MAN2B2
XP_060631678.1,BAALC
XP_060710677.1,ACHE
XP_060611377.1,PAQR5
XP_060711174.1,UBL5
KAK2114508.1,ULBP3
XP_060686386.1,WLS
XP_060705724.1,IBTK
XP_060549960.1,SCN1B
XP_060687055.1,TRMT6
XP_060694230.1,AGTPBP1
XP_060687542.1,SEC23B
KAK2509181.1,ZNF256
XP_060624298.1,NT5C2
XP_060704907.1,MREG
NP_001265686.1,SLC26A6
XP_060634562.1,MTMR7
XP_060704887.1,EFTUD2
XP_060696957.1,RGS11
XP_060626090.1,ACOT9
XP_060242418.1,CD300C
XP_060707428.1,FAT4
XP_060636741.1,TSKS
XP_060677057.1,RWDD1
XP_060538493.1,SALL1
NP_001006947.2,SDC1
XP_060712303.1,CDC40
NP_001081569.1,CS
XP_060671580.1,DSC2
XP_060548588.1,CCDC88A
XP_060626522.1,GBE1
XP_060694619.1,USH1C
XP_060507242.1,ZNF526
O15544.1,LINC01565
XP_060609003.1,GABRR1
XP_060701811.1,SUSD1
XP_060611042.1,COL10A1
XP_060712136.1,MRPL33
XP_060695781.1,LSM8
XP_060692876.1,ATOX1
XP_060549178.1,CLUH
XP_060711241.1,SUB1
XP_060692023.1,GFM2
XP_060709639.1,USP3
XP_060686972.1,ACAT2
XP_060702215.1,USE1
XP_060680223.1,HAS2
XP_060620603.1,FOXJ1
XP_060622963.1,AMPD3
XP_060489140.1,CPA4
Q64507.1,KRTAP5-1
NP_064695.3,AKR1B10
NP_001239406.1,BTG1
XP_060681637.1,NAPRT
XP_060461899.1,NLRP10
XP_060684092.1,LANCL1
WP_224715255.1,CA4
NP_001365696.1,DRP2
XP_060680870.1,TBC1D5
XP_060617467.1,SNX18
XP_060505787.1,TP53I3
XP_060636722.1,CAVIN2
XP_060612731.1,EIF4H
XP_060542572.1,DOCK9
XP_060699722.1,POP5
XP_060619120.1,PIM2
XP_060685023.1,HEATR5A
XP_060539332.1,C2orf78
XP_060608903.1,COL12A1
XP_060631825.1,ZHX1
XP_060704722.1,TMEM98
XP_060631675.1,KLF10
XP_060643957.1,VPS4A
XP_060699767.1,RAB35
XP_060538542.1,ARHGEF2
XP_060493725.1,POU5F2
XP_060696773.1,INTS1
XP_060688330.1,STK26
XP_060699959.1,SH2B3
XP_060491883.1,PCDHGC4
XP_060692095.1,ADRM1
XP_060693065.1,LRRTM2
XP_060639354.1,GUK1
XP_060686156.1,UHMK1
NP_066302.2,ABCB11
XP_060616679.1,B3GALT4
XP_060703354.1,STK40
XP_060541485.1,FDPS
XP_060678262.1,TIMM10
XP_060696123.1,ROGDI
XP_060688635.1,POF1B
XP_060707580.1,MTMR9
NP_001389982.1,PTPRZ1
XP_060503436.1,SERPINA7
XP_060681987.1,TXNDC9
DBA13421.1,IGHE
XP_060712207.1,GNMT
XP_060551020.1,ABCG4
XP_060693489.1,FEM1C
XP_060680489.1,ATP8A1
XP_060695593.1,MYBPC1
XP_060683328.1,DNAJC10
XP_060693112.1,KIAA1191
XP_060240980.1,TGM4
XP_060548454.1,WDR26
XP_060708058.1,MFAP2
XP_060497027.1,PNLIP
XP_060705849.1,CAP2
XP_060689749.1,CBR1
XP_060699916.1,TCHP
XP_060695459.1,IQUB
XP_060619907.1,C1QL4
NP_001341945.1,PDGFA
O60404.1,OR10H3
XP_060684382.1,MAP3K12
XP_060709059.1,TRPM7
XP_060708187.1,AP5B1
XP_060627054.1,TRPC6
XP_060542873.1,TRIM2
XP_060619234.1,ATP6AP1
XP_060672288.1,NPR1
KAK1341684.1,DEFB103A
XP_060684373.1,SNX6
NP_001257570.1,JOSD2
XP_060686902.1,DUSP10
XP_060686885.1,BATF3
XP_060615506.1,FKBPL
XP_060684558.1,VPS33B
Q3LI64.1,KRTAP6-1
XP_060513502.1,KRT76
XP_060637173.1,ACBD4
XP_060621542.1,CLINT1
XP_060681697.1,MYO3A
XP_060550129.1,SNCG
XP_060543992.1,B3GALT1
XP_060609534.1,PCMT1
XP_060682002.1,TGFBRAP1
XP_060502155.1,CSF3
XP_060465021.1,ZNF483
XP_060636472.1,ALDH16A1
NP_035616.1,STAT4
XP_060539383.1,TMEM205
XP_060702339.1,RFX2
XP_060706634.1,TRIM17
XP_060694601.1,PRMT3
XP_060547082.1,ADCY2
XP_060693016.1,THG1L
XP_060702611.1,MAU2
XP_060695760.1,CAND1
XP_060690986.1,MTERF4
XP_060711189.1,DNASE2
XP_060704725.1,IFI35
XP_060502075.1,KRT10
XP_060544299.1,NCKIPSD
XP_060488956.1,ERAS
XP_060615448.1,APOM
XP_060611003.1,KCNRG
XP_060695244.1,PWP1
XP_060698869.1,C12orf4
XP_060492472.1,BTNL9
XP_060708937.1,DET1
XP_060619173.1,ARHGAP4
XP_060704849.1,RDM1
XP_060686113.1,TMED5
XP_060636473.1,FLT3LG
XP_060540141.1,SHISAL1
XP_060484991.1,ZNF112
XP_060576979.1,FAM133A
XP_060259540.1,BTN3A3
XP_060615977.1,TNXB
XP_060618987.1,CELF1
XP_060539985.1,ADAP1
NP_001387841.1,SLC13A3
XP_060685411.1,SLIRP
XP_060618561.1,CLSTN3
XP_060633971.1,NECAP1
XP_060544793.1,AMZ2
XP_060542434.1,TNIP3
XP_060697409.1,RNF24
XP_060680496.1,RNMT
XP_060543634.1,IRAG2
XP_060710620.1,MBLAC1
CAJ1076502.1,ZNF195
XP_060704602.1,ZNF385C
XP_060690958.1,DZIP1L
XP_060629772.1,PTGFR
XP_060550746.1,DPP8
XP_060709579.1,CA12
XP_060540780.1,SLC7A8
NP_001366220.1,NUTM1
XP_060685250.1,WDR25
XP_060706832.1,PPP1R11
NP_037077.1,ADAM9
XP_060550431.1,MGST1
XP_060676831.1,RNF115
XP_060551045.1,HCN2
XP_060690781.1,PDE6D
XP_060544314.1,TMEM40
XP_060621437.1,MYOZ3
XP_060500508.1,LY9
XP_060711528.1,CNIH4
NP_001101357.1,CX3CR1
XP_060687960.1,TBX22
XP_060689191.1,PIGP
XP_060694266.1,ST3GAL2
XP_060637054.1,PNMT
XP_060608719.1,PXDN
XP_060687714.1,LRP11
XP_060696615.1,SLC25A51
XP_060542501.1,PCDH8
NP_001025866.2,ZNF302
XP_060707564.1,SH2D4A
XP_060640453.1,SH3BGRL3
XP_060612064.1,IL13RA1
NP_001356143.1,TNC
NP_001264671.1,CYP26A1
XP_060546438.1,PSIP1
CAK1260246.1,MOBP
XP_021483003.1,LCE5A
XP_060613351.1,RAB14
XP_060640875.1,LRFN1
XP_060692114.1,DHX35
XP_060696567.1,EIF2AK1
XP_060616867.1,MAGIX
XP_060679031.1,TBC1D31
XP_060712554.1,TM2D2
XP_060679256.1,FBXL5
XP_060682807.1,UNC50
XP_060617624.1,SV2C
XP_060619378.1,FSTL1
XP_060707471.1,INTS12
XP_060685231.1,CDC42BPB
XP_060505447.1,GJC3
XP_060636251.1,PRRT2
XP_060538702.1,KCNE3
XP_060549233.1,RPH3AL
NP_001297649.1,P2RX4
XP_060617603.1,LHFPL2
XP_060540160.1,CHL1
XP_060712545.1,PLPBP
XP_060611576.1,RBPMS2
XP_060695652.1,NT5DC3
XP_060493119.1,SERP2
XP_060688034.1,ATP1B4
XP_060683601.1,CCNYL1
XP_060615451.1,ATP6V1G2
XP_060547461.1,SYTL1
A5A3E0.2,POTEE
XP_060692246.1,DDX27
XP_060542709.1,CNKSR2
XP_060616775.1,CCDC68
XP_060548106.1,ENOX2
XP_060698494.1,SFXN2
XP_060708431.1,PEX10
CAK1216692.1,PRX
XP_060543718.1,TNNT3
XP_060687460.1,VASH2
XP_060677311.1,ANKRD55
XP_060631802.1,CCN3
XP_060699658.1,CRHBP
WP_318217314.1,AHSA1
XP_060626389.1,OLIG1
XP_060613089.1,SPATA7
XP_060618874.1,HOXC10
XP_060622783.1,CLDN18
XP_060632403.1,MBD5
NP_955630.3,STAC3
XP_060678786.1,ZBTB10
NP_001362217.1,SNCB
XP_060513281.1,MYL6B
XP_060679943.1,FASTK
Q8N0U6.1,LINC00518
XP_060546854.1,GUCY1A1
XP_060676865.1,TSPAN31
XP_060690886.1,STAG1
XP_060693071.1,BOD1
Q9BYE4.1,SPRR2G
XP_060681436.1,PDK4
XP_060546378.1,SLC44A1
XP_060146744.1,CLEC10A
NP_001278668.1,GPI
XP_060686817.1,EXO1
XP_060621698.1,UBA7
XP_060543338.1,EML5
XP_060677708.1,IPO4
XP_060695082.1,METTL15
Q9BUG6.1,ZSCAN5A
XP_060688204.1,MRPL1
XP_060688122.1,MCTS1
XP_060706108.1,MRPL32
XP_060634999.1,MYOZ2
NP_005974.2,IFI27
XP_060235188.1,PLA2G2A
XP_060481641.1,ZNF786
XP_060504343.1,NUDT16L1
XP_060682741.1,POLR1D
XP_060257358.1,CYP11A1
XP_060632387.1,FBH1
XP_060489362.1,ARHGEF5
XP_060687416.1,SERTAD4
XP_034271522.2,ARHGAP23
O75678.3,RFPL2
P60371.3,KRTAP10-6
XP_060618958.1,PIP4K2C
XP_060466191.1,PDCD1LG2
XP_060699038.1,CDK17
XP_060698133.1,ENTPD1
XP_060644439.1,SS18L2
XP_060543320.1,ASB2
XP_060688157.1,HDX
XP_060709138.1,BCL2L10
XP_034272854.1,NCR3LG1
XP_060643337.1,GKN1
WOF76043.1,HLA-DMB
XP_060682064.1,XPO4
NP_835508.1,H2BC7
XP_060623633.1,KCNAB1
XP_060698200.1,MMS19
XP_060695770.1,NUP107
XP_060543857.1,STK36
XP_060687981.1,HPRT1
XP_060610826.1,ATRAID
NP_000370.2,NUDT15
XP_060539494.1,AP3M2
XP_060704403.1,SLC5A2
XP_032613242.1,RAB40A
XP_060684099.1,ZGRF1
XP_060693520.1,CDH15
XP_060499147.1,IL19
XP_060707833.1,AGMAT
XP_060651143.1,FKBP2
XP_054969417.1,SNHG32
XP_060501791.1,SPPL2C
XP_060693614.1,CHST6
XP_060630522.1,B3GALT2
XP_034264773.2,FGFBP1
XP_060547642.1,ORMDL3
XP_060621043.1,PCYOX1L
XP_042103495.1,KLRF1
XP_060495433.1,LIPH
XP_060544922.1,KCNIP4
XP_060550219.1,ARHGEF11
XP_060687276.1,AHCTF1
XP_060693695.1,SNX20
XP_060640615.1,GMEB1
Q6UX41.1,BTNL8
